id;name;original_language;first_air_date;production_companies[0].name;production_companies[1].name;production_companies[2].name
355;The Bachelor;en;25/03/2002;Next Entertainment;Telepictures;-
356;Notes from the Underbelly;en;12/04/2007;-;-;-
357;The Trap Door;en;06/10/1986;-;-;-
358;Let's Get Inventin';;12/12/2012;-;-;-
359;Trisha Goddard;en;01/09/1998;-;-;-
360;Ang Pagbabago;en;12/12/2012;-;-;-
361;Never Mind the Full Stops;;12/12/2012;-;-;-
362;Monday Night Countdown;en;12/12/2012;-;-;-
363;Legends of the Hidden Temple;en;11/09/1993;-;-;-
364;Sealab 2020;en;09/09/1972;Hanna-Barbera Productions;-;-
365;Jericho;en;20/09/2006;Junction Entertainment;Fixed Mark Productions;CBS Studios
366;Tweenies;en;06/09/1998;-;-;-
367;Klovn;da;07/02/2005;Zentropa Entertainments;TV 2;-
368;Sportscene;en;12/12/2012;BBC Scotland;-;-
369;Masked Rider;en;17/09/1995;-;-;-
370;Stickin' Around;en;14/08/1996;Nelvana;-;-
371;Chilly Beach;en;03/09/2003;-;-;-
372;An American in Canada;en;28/02/2003;-;-;-
373;Now and Forever: Duyan;en;12/12/2012;-;-;-
374;Kids Incorporated;en;07/09/1984;Lynch Entertainment;MGM/UA Television;Hal Roach Studios
376;The Amanda Show;en;16/10/1999;Nickelodeon Productions;Tollin/Robbins Productions;-
377;So Haunt Me;en;23/02/1992;-;-;-
378;Come Back Mrs. Noah;en;13/12/1977;-;-;-
379;The Sports Reporters;en;12/12/2012;-;-;-
380;Little Britain;en;16/09/2003;BBC;-;-
382;Under One Roof;en;01/01/1997;-;-;-
383;Cain's Hundred;en;19/09/1961;Vanadas Productions;MGM Television;-
384;Doug;en;18/08/1991;Ellipsanime Productions;Jumbo Pictures;-
385;Maury;en;09/09/1991;MoPo Productions;Paramount Television Studios;-
387;SpongeBob SquarePants;en;01/05/1999;United Plankton Pictures;Nickelodeon Productions;Nickelodeon Animation Studio
388;Tronji;en;12/12/2012;-;-;-
389;Changing Rooms;en;04/09/1996;-;-;-
390;Evening Shade;en;21/09/1990;Mozark Productions;Burt Reynolds Productions;MTM Enterprises
391;Outside the Lines;en;07/05/1990;-;-;-
